Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,ISS,145.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,SF CLUB,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
3,MURS B,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,MURS G,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,GMRS 1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,GMRS 2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,GMRS 3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,GMRS 4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,GMRS 5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,GMRS 6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,GMRS 7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,GMRS 8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,FRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,FRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,FRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,FRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,FRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
18,FRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
19,FRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
20,FRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
21,FRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
22,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,.7M CAL,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,2M CM A,146.400000,,0.000000,TSQL,94.8,94.8,023,NN,FM,5.00,,,,,,
26,2M CM B,145.535000,,0.000000,Tone,165.5,88.5,023,NN,FM,5.00,,,,,,
27,2M CM C,147.450000,,0.000000,TSQL,196.6,196.6,023,NN,FM,5.00,,,,,,
28,2M CM D,146.460000,,0.000000,TSQL,110.9,110.9,023,NN,FM,5.00,,,,,,
29,2M CM E,146.595000,,0.000000,Tone,179.9,88.5,023,NN,FM,5.00,,,,,,
30,2M CM F,147.585000,,0.000000,DTCS,88.5,88.5,223,NN,FM,5.00,,,,,,
31,2M CM G,445.925000,,0.000000,Tone,206.5,88.5,023,NN,FM,5.00,,,,,,
32,2M CM H,442.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,2M CM I,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,BATT 1,146.415000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
35,BATT 3,146.460000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
36,BATT 4,146.550000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
37,BATT 6,147.585000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
38,BATT 9,146.505000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
39,WA6KQB,145.110000,-,0.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
40,K6GWE,147.330000,+,0.600000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
41,K6EAG,145.130000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
42,W6PW,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
43,KB6LED,145.290000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
44,WA6HAM,145.490000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
45,KM6EF,146.610000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
46,W6BUR,146.670000,-,0.600000,Tone,85.4,88.5,023,NN,FM,5.00,,,,,,
47,K6GWE,146.700000,-,0.600000,Tone,179.9,88.5,023,NN,FM,5.00,,,,,,
48,K6BW,146.775000,-,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
49,W6TP,146.790000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
50,KC6ULT,146.865000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
51,WB6NDJ,146.880000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
52,WA6TOW,146.925000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
53,WB6BDD,147.030000,+,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
54,WB6CKT,147.090000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
55,WB6TCS,147.210000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
56,W6RGG,147.240000,+,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
57,N6MPX,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
58,K6GWE,146.700000,-,0.600000,Tone,203.5,88.5,023,NN,FM,5.00,,,,,,
59,KB6LED,147.975000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
60,K6LNK,146.850000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
61,K6BW,146.775000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
62,WD6INC,146.835000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
63,W6MTF,147.675000,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
64,KF6ALA,147.825000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
65,W6CX,147.060000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
66,KQ6YG,440.050000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
67,KR6WP,440.075000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
68,KM6EF,440.350000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
69,KK6AN,440.475000,+,5.000000,Tone,71.9,88.5,023,NN,FM,5.00,,,,,,
70,N3TC,440.525000,+,5.000000,Tone,225.7,88.5,023,NN,FM,5.00,,,,,,
71,W6RV,440.550000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
72,W6EBW,440.575000,+,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
73,WA2UNP,440.900000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
74,KB6LED,440.950000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
75,WA6TOW,441.075000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
76,W6RCA,441.225000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
77,K6DNA,441.250000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
78,KR6BEN,441.250000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
79,WD6GGW,441.400000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
80,W6EE,441.450000,+,5.000000,Tone,85.4,88.5,023,NN,FM,5.00,,,,,,
81,W6YOP,441.475000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
82,W6CBS,441.612500,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
83,WA6BZS,441.975000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
84,WA6GG,442.050000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
85,N6MVT,442.075000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
86,K6HSV,442.100000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
87,WA6DUR,442.150000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
88,KD6QDW,442.250000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
89,WA6ZTY,442.275000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
90,K6GOD,442.350000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
91,K6JDE,442.375000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
92,KC6PGV,442.375000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
93,WB6NDJ,442.400000,+,5.000000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
94,KF6REK,442.475000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
95,K6ER,442.525000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
96,K6MFM,442.525000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
97,N6MNV,442.700000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
98,KR6BEN,442.750000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
99,N6QOP,443.050000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
100,W6TP,443.100000,+,5.000000,DTCS,88.5,88.5,114,NN,FM,5.00,,,,,,
101,K6GWE,443.250000,+,5.000000,Tone,179.9,88.5,023,NN,FM,5.00,,,,,,
102,WB6JKV,443.325000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
103,AC6OT,443.350000,+,5.000000,Tone,186.2,88.5,023,NN,FM,5.00,,,,,,
104,WB6SHU,443.375000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
105,N6MVT,443.475000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
106,N6QOP,443.475000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
107,K6GWE,443.525000,+,5.000000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
108,K6JJC,443.825000,+,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
109,KG6TN/E,443.925000,+,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
110,WW6BAY,443.975000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
111,KE6PTT,444.000000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
112,W6RGG,444.200000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
113,WB6TCS,444.250000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
114,WD6EZC,444.275000,+,5.000000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
115,N6YJ,444.450000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
116,K6MPN,444.500000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
117,W6PW,444.225000,+,5.000000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
118,W6YOP,444.775000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
119,K6KYA,444.850000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
120,KB6LCS,444.925000,+,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
121,K6DDR,442.875000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
122,KK6BSN,443.825000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
123,K6QLF,444.575000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
124,W6MTF,441.425000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
125,N6TZE,440.025000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
126,W6YYY,440.037500,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
127,K6GOD,440.175000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
